id	itle edirect
7678	Computer display/LCD	Liquid-crystal display
7679	Computer display/CRT	Cathode ray tube
7684	Boeing C-135	Boeing C-135 Stratolifter
7688	Christian antisemitism	Christianity and antisemitism
7694	Chinese food	Chinese cuisine
7695	Chiliasm	Millennialism
7696	Christian theosophy	Theosophy (Boehmian)
7705	Cartesian coordinates	Cartesian coordinate system
7707	Churchill	Winston Churchill
7714	Cyril Kornbluth	Cyril M. Kornbluth
7715	Climate Change 1995	Intergovernmental Panel on Climate Change
7724	Contrapositive	Contraposition
7725	Chinese Remainder Theorem	Chinese remainder theorem
7726	Cow story	You have two cows
7743	Cell Incubator	Incubator (culture)
7744	Cell incubator	Incubator (culture)
7766	Cartzonna	Gavoi
7778	CVBG	Carrier battle group
7788	C. L. Berthollet	Claude Louis Berthollet
7790	Chasidic Judaism	Hasidic Judaism
7793	Cave Tetra	Cave tetra
7831	Cous cous	Couscous
7841	Curl Contents Language	Curl (programming language)
7852	DisRuption	Disruption
7853	DonegalFiddleTradition	Donegal fiddle tradition
7854	DoubleStops	Double stop
7855	DirectRealism	Naïve realism
7856	DefinitionofBibleTerms	Biblical canon
7858	DanCe	Dance
7859	DeconstructionIsm	Deconstruction
7861	DavidHume	David Hume
7862	DagnyTaggart	List of Atlas Shrugged characters
7863	DataEncryptionStandard	Data Encryption Standard
7866	DefinitioN	Definition
7867	DefinitionOfPhilosophy	Philosophy
7868	DefinitionOfLogic	Logic
7870	DualIsm	Dualism (disambiguation)
7871	DaoDeJing	Tao Te Ching
7872	DualisticInteractionism	Mind–body dualism
7875	DrewBarrymore	Drew Barrymore
7876	DianeticS	Dianetics
7877	DesigningExperiments	Design of experiments
7880	DataSeT	Data set
7882	DramaFilm	Drama (film and television)
7883	DeweyDecimalSystem	Dewey Decimal Classification
7884	DeniseRichards	Denise Richards
7889	Direct realism	Naïve realism
7897	Dune/Videogames	List of games based on Dune
7898	Dune computer and video games	List of games based on Dune
7904	Designing Experiments	Design of experiments
7905	Discrete probability distribution	Probability distribution
7918	DegreeConfluenceProject	Degree Confluence Project
7920	DravidianLanguages	Dravidian languages
7927	DES (disambiguation)	DES
7929	Differentiability	Differentiable function
7932	Daubentoniidae	Aye-aye
7933	Daffodil	Narcissus (plant)
7934	DavidFriedman	David Friedman
7937	Diagonal slash argument	Cantor's diagonal argument
7944	Dancing music	Dance music
7945	Dog Tag	Dog tag
7949	Didjeridu	Didgeridoo
7956	Dna	DNA
7961	Documentary Film	Documentary film
7967	Double stops	Double stop
7977	Non-independent areas	List of territorial disputes
7979	DeMoivresFormula	De Moivre's formula
7987	Defensive team	American football positions
8009	Dirigible	Airship
8010	Drunk	Alcohol intoxication
8014	Digitizing tablet	Graphics tablet
8077	Daily rushes	Dailies
8084	Tech bubble	Dot-com bubble
8089	Drama film	Drama (film and television)
8094	Donald E Knuth	Donald Knuth
8096	Donald E. Knuth	Donald Knuth
8105	Data compression/Huffman coding	Huffman coding
8108	Data compression/MP3	MP3
8110	Data compression/lossless	Lossless compression
8113	Multimedia compression	Data compression
8119	Dockyard	Shipyard
8130	Digital Video	Digital video
8136	Dualistic interactionism	Interactionism (philosophy of mind)
8140	Deconstructionism	Deconstruction
8175	Dennis the Menace/Gnasher	Dennis the Menace and Gnasher
8183	Dwight Eisenhower	Dwight D. Eisenhower
8196	Dr Who	Doctor Who
8223	Data Compression/sampling frequency	Sampling (signal processing)
8225	Definition Of Music	Definition of music
8234	Des Moines	Des Moines, Iowa
8238	Distributed programming	Distributed computing
8241	Debian GNU/Linux	Debian
8248	Drug of abuse	Substance abuse
8255	DX communication	DXing
8264	Dumpster-diving	Dumpster diving
8266	DMCA	Digital Millennium Copyright Act
8269	Discrete math	Discrete mathematics
8272	Danforth Quayle	Dan Quayle
8273	James Danforth Quayle	Dan Quayle
8277	Di George's syndrome	DiGeorge syndrome
8282	Dmitry Ivanovich Mendeleev	Dmitri Mendeleev
8285	Dense	Density (disambiguation)
8288	Dinosaurs	Dinosaur
8291	Dinosauria	Dinosaur
8292	Delphi programming language	Object Pascal
8295	Declarative memory	Explicit memory
8298	Descartes	René Descartes
8307	Dyslectic	Dyslexia
8327	Dromi	Fenrir
8331	Drug Mix	Poly drug use
8332	Induhvidual	Dilbert
8364	Doug Engelbart	Douglas Engelbart
8365	Dynamical systems and chaos theory	Dynamical systems theory
8371	Declaration of Independence	Declaration of independence
8379	Dipole-dipole bond	Intermolecular force
8380	Dipole–dipole attraction	Intermolecular force
8382	Delocalised	Delocalized electron
8385	Dry beer	Pale lager
8390	Don Delillo	Don DeLillo
8399	Dissolve	Dissolution
8405	Dative	Dative case
8423	DragonMagazine	Dragon Magazine
8424	DungeonMagazine	Dungeon (magazine)
8428	DFLP	Democratic Front for the Liberation of Palestine
8438	Diedrich Westermann	Diedrich Hermann Westermann
8457	Diploidy	Ploidy
8473	Demisesquicentennial	Anniversary
8497	DSM-IV	Diagnostic and Statistical Manual of Mental Disorders
8507	Mogul (skiing)	Mogul skiing
8513	Database management system	Database
8514	DBMS	Database
8526	Dark matter problem	Dark matter
8535	Discordian	Discordianism
8543	District of Columbia	Washington, D.C.
8546	Death factory	Extermination camp
8555	Danzig	Gdańsk
8559	Diesel Engine	Diesel engine
8566	Diesel engines	Diesel engine
8572	Dao	Tao
8590	Den Haag	The Hague
8604	Dakinis	Dakini
8610	Diaspora Studies	Diaspora studies
8634	Dredgers	Dredging
8636	Dirt speedway racing	Dirt track racing
8647	Dozenal Society of Great Britain	Duodecimal
8665	D.W. Griffith	D. W. Griffith
8666	Decnet	DECnet
8669	Dragon 32	Dragon 32/64
8670	Document Editor	Word processor
8685	Athenian Empire	Delian League
8710	Durham University (England)	Durham University
8711	Distilling	Distillation
8725	Desmodromic	Desmodromic valve
8754	Dhamma	Dharma
8755	Distance function	Metric (mathematics)
8759	Daemon	Demon (disambiguation)
8760	Depression and Mood Disorders	Mood disorder
8772	Domination and submission	Dominance and submission
8773	Daniel C. Dennett	Daniel Dennett
8792	Dennis Hopper/Filmography	Dennis Hopper
8793	Dolichocephalic	Cephalic index
8803	Danewerk	Danevirke
8808	DHEA	Dehydroepiandrosterone
8810	Dolphins	Dolphin
8819	Digital video disc	DVD
8820	Digital Versatile Disc	DVD
8836	Dideoxy sequencing	DNA sequencing
8853	Dr Suess	Dr. Seuss
8854	Dr Seuss	Dr. Seuss
8856	Dr. Suess	Dr. Seuss
8867	Department of Defense	Ministry of Defence
8872	District of Ajmere	Ajmer
8894	DNA chip	DNA microarray
8898	Darwinian	Darwinism
8899	DXF	AutoCAD DXF
8903	Direct Connect	Direct connect
8911	Discriminatory	Discrimination
8915	Discrete multitone modulation	Orthogonal frequency-division multiplexing
8918	Dancing	Dance
8924	Devanagiri	Devanagari
8928	Denis Arkadievich Kaufman	Dziga Vertov
8929	Denis Abramovich Kaufman	Dziga Vertov
8936	Drunkeness	Alcohol intoxication
8954	Deutsche Marine	German Navy
8955	DoD	United States Department of Defense
8976	Diarists	Diary
8977	Design by Contract	Design by contract
8982	Dona Marina	La Malinche
8988	Delaware Corporation	Delaware General Corporation Law
8995	DHTML	Dynamic HTML
9006	Daniel Ortega Saavedra	Daniel Ortega
9009	Dewar flask	Vacuum flask
9022	Dotcom (disambiguation)	Dotcom
9028	Deep England	Merry England
9029	Della Thelma Duck	Duck family (Disney)
9031	Dartmouth College case	Dartmouth College v. Woodward
9042	Downy O'Drake	Clan McDuck
9043	Dingus McDuck	Clan McDuck
9044	DSM-IV-TR	Diagnostic and Statistical Manual of Mental Disorders
9045	DSM-III	Diagnostic and Statistical Manual of Mental Disorders
9046	DSM-III-R	Diagnostic and Statistical Manual of Mental Disorders
9047	Daphne Duck	Duck family (Disney)
9050	Donna Duck	Daisy Duck
9057	Dyson Sphere	Dyson sphere
9060	Dost Mohammed and the British in Afghanistan	European influence in Afghanistan
9073	Denary	Decimal
9075	David Bowman (Space Odyssey)	Space Odyssey
9088	Dynamic system	Dynamical system
9092	Dragonball Z	Dragon Ball Z
9097	Devangari alphabet	Devanagari
9098	Devanaagarii	Devanagari
9106	David Grinnell	Donald A. Wollheim
9108	Daimler-Chrysler	Daimler AG
9112	Dr. Doom	Doctor Doom
9124	Descending chain condition	Ascending chain condition
9125	Descending Chain Condition	Ascending chain condition
9127	Double boiler	Bain-marie
9131	Djinn	Jinn
9139	DreamCast	Dreamcast
9145	Druzism	Druze
9151	Didjeridoo	Didgeridoo
9152	Diablo II Lord of Destruction	Diablo II: Lord of Destruction
9154	Dakar Rallye	Dakar Rally
9158	Dr Strangelove	Dr. Strangelove
9166	EncycloPedia	Encyclopedia
9167	EuroCurrency	Eurocurrency
9172	EquivalenceRelation	Equivalence relation
9173	EsperantujO	Esperantujo
9174	EastGermany	East Germany
9175	EsperantoLanguage	Esperanto
9177	EcheloN	ECHELON
9181	EconomicS	Economics
9182	EdwinAustinAbbey	Edwin Austin Abbey
9183	EricHoffer	Eric Hoffer
9185	ErnestHemingway	Ernest Hemingway
9186	EnroN	Enron
9187	ExistencE	Existence
9188	EpistemOlogy	Epistemology
9190	ErnestHemingway/FamousatTwentyFiveThirtyaMaster	Ernest Hemingway
9191	ErnestHemingway/FromBoytoManHemingwaysFirstWorldWar	Ernest Hemingway
9192	ErnestHemingway/FromRealitytoFictionAFarewelltoArms	Ernest Hemingway
9193	ErnestHemingway/TheTimeinBetween	Ernest Hemingway
9195	ErnestHemingway/ForWhomtheBellTolls	For Whom the Bell Tolls
9196	ErnestHemingway/FredericHenry	A Farewell to Arms
9197	ErnestHemingway/RobertJordan	For Whom the Bell Tolls
9198	ErnestHemingway/YoungandInnocent	Ernest Hemingway
9199	ErnestHemingway/ThingsTurnSour	Ernest Hemingway
9200	ErnestHemingway/TheEndlessDarkNothingness	Ernest Hemingway
9201	ErnestHemingway/SureShotsTheSecondWorldWar	Ernest Hemingway
9202	ErnestHemingway/TheDownwardSpiral	Ernest Hemingway
9203	ErnestHemingway/ViolenceandRedemption	Ernest Hemingway
9204	ErnestHemingway/WhyItWentWrong	Ernest Hemingway
9205	ErnestHemingway/BibliographY	Ernest Hemingway
9208	EthicalNaturalism	Ethical naturalism
9212	ElectricalEngineering	Electrical engineering
9213	EuleR	Leonhard Euler
9215	EartH	Earth
9220	EduCation	Education
9221	EiffelTower	Eiffel Tower
9229	EnglishChannel	English Channel
9242	EigenVectors	Eigenvalues and eigenvectors
9243	EigenValue	Eigenvalues and eigenvectors
9244	EigenVector	Eigenvalues and eigenvectors
9246	Eigen Vectors	Eigenvalues and eigenvectors
9261	Electronic Music	Electronic music
9265	Extint countries	List of former sovereign states
9266	Extinct countries	List of former sovereign states
9267	Extinct political countries, empires, etc.	List of former sovereign states
9275	Electronic Music/Jungle	Drum and bass
9276	Electronic Music/Drum and Bass	Drum and bass
9290	Economic subjectivism	Subjective theory of value
9292	Einstein	Albert Einstein
9293	Establishing Shot	Establishing shot
9304	Economy/Inflation	Inflation
9323	Easter Sunday	Easter
9330	EucliD	Euclid
9347	Egypt/History	History of Egypt
9409	Geography of Europa Island	Scattered Islands in the Indian Ocean
9410	Europa Island/People	Scattered Islands in the Indian Ocean
9411	Government of Europa Island	Scattered Islands in the Indian Ocean
9414	Transportation on Europa Island	Scattered Islands in the Indian Ocean
9415	Europa Island/Military	Scattered Islands in the Indian Ocean
9416	Europa Island/Transnational issues	Scattered Islands in the Indian Ocean
9430	Things Turn Sour	Ernest Hemingway
9431	The Endless Dark Nothingness	Ernest Hemingway
9434	Ernest Hemingway/For Whom the Bell Tolls	For Whom the Bell Tolls
9435	Frederic Henry	A Farewell to Arms
9436	Ernest Hemingway/Robert Jordan	For Whom the Bell Tolls
9437	Famous at Twenty-Five Thirty a Master	Ernest Hemingway
9438	From Boy to Man Hemingways First World War	Ernest Hemingway
9439	From Reality to Fiction A Farewell to Arms	Ernest Hemingway
9440	Sure Shots The Second World War	Ernest Hemingway
9442	Violence and Redemption	Ernest Hemingway
9443	Why It Went Wrong	Ernest Hemingway
9444	Ernest Hemingway/Bibliography	Ernest Hemingway
9448	Exhaust pipe	Exhaust system
9449	Electro funk	Electro (music)
9452	Estruscan alphabet	Old Italic script
9458	Executive power	Executive (government)
9463	English language/British English	English language in England
9464	Non-standard adjectives in the English language	List of irregular English adjectives
9465	English language/American English	American English
9485	Electronic instruments	Electronic musical instrument
9489	Eric Arthur Blair	George Orwell
9495	EU	European Union
9497	Esperantio	Esperantujo
9500	E.P.Thompson on Luddites	Luddite
9501	E. P. Thompson on Luddites	Luddite
9507	Encyclopedia Britannica	Encyclopædia Britannica
9513	Electronic art music	Electronic music
9543	Expectation operator	Expected value
9544	Estimating parameters	Estimation theory
9548	Edgar Allen Poe	Edgar Allan Poe
9554	Estrus	Estrous cycle
9570	Electric Levantine	Murat Ses
9572	Eulers number	E (mathematical constant)
9576	European Community	European Economic Community
9599	Elliptical Curve Cryptography	Elliptic-curve cryptography
9600	ElementalAllotropes	Allotropy
9606	Ergonomics	Human factors and ergonomics
9607	Electromagnectic radiation	Electromagnetic radiation
9614	Eductor-jet pump	Injector
9618	Emission line	Spectral line
9624	Early Music	Early music
9625	Eigenstate	Quantum state
9635	Euler - Maclaurin formula	Euler–Maclaurin formula
9642	Extropian	Extropianism
9682	Echo and the Bunnymen	Echo & the Bunnymen
9711	Electromagnetic interaction	Electromagnetism
9715	Endangered Species	Endangered species
9716	Environmental Modification	Environmental Modification Convention
9722	Eigenvalue	Eigenvalues and eigenvectors
9741	E.B. White	E. B. White
9743	Education vouchers	School voucher
9744	Edgar Allen Poe/The Black Cat	The Black Cat (short story)
9745	Edgar Allan Poe/The Black Cat	The Black Cat (short story)
9753	Eukaryotic cell	Eukaryote
9754	Elegiac couplets	Elegiac couplet
9757	Eon (geology)	Geologic time scale
9782	EISA	Eisa
9788	Electromagnetic spectroscopy	Spectroscopy
9791	Ecstacy	Ecstasy
9794	Evolutionary tree	Phylogenetic tree
9797	Evolutionary tree/Chordata	Chordate
9805	Electric Charge	Electric charge
9807	Early Helladic	Helladic period
9809	Electromagnetic force	Electromagnetism
9811	Exchange particle	Force carrier
9817	Electronic music/Art music	Electronic music
9847	Elbing/Elblag	Elbląg
9848	Elbing/Truso	Elbląg
9854	Estonia disaster	MS Estonia
9863	European Federation of Green Parties	European Green Party
9880	Expellees	Diaspora studies
9881	Efficient Markets Hypothesis	Efficient-market hypothesis
9882	Efficient markets theory	Efficient-market hypothesis
9885	England/City	City status in the United Kingdom
9888	England/Food and Drink	English cuisine
9899	Ethnicity	Ethnic group
9913	ELF file format	Executable and Linkable Format
9919	Ethnic	Ethnic group
9940	Edentata	Xenarthra
9944	Episome	Plasmid
9980	Extreme unction	Anointing of the Sick in the Catholic Church
9981	Extreme Unction	Anointing of the Sick in the Catholic Church
9984	Earth Sciences basic topics	Outline of Earth sciences
9998	Eliezer S. Yudkowsky	Eliezer Yudkowsky
10009	Electroconvulsive Therapy	Electroconvulsive therapy
10022	E.163	E.164
10027	Eugene Paul Wigner	Eugene Wigner
10039	Ermland	Warmia
10041	European Article Numbering	International Article Number
10051	Electronic Data Systems Corp.	DXC Technology
10057	Ehime-Maru	Ehime Maru and USS Greeneville collision
10058	Epistles	Epistle
10061	Epistle to Ephesians	Epistle to the Ephesians
10062	Epistle to the Phillipians	Epistle to the Philippians
10063	Epistle to Philippians	Epistle to the Philippians
10066	Episcopalians	Anglicanism
10072	Elizabeth Gracen/Filmography	Elizabeth Gracen
10094	Eurostar train	Eurostar
10109	Esotericism	Western esotericism
10127	Empress Shotoku of Japan	Empress Kōken
10137	Evolution of an idea	Meme
10138	Earl of Abercorn	Duke of Abercorn
10143	East Brunswick	East Brunswick, New Jersey
10149	Englebert Dolfuss	Engelbert Dollfuss
10156	Evolved	Evolution
10173	Empiricist	Empiricism
10178	Ethyne	Acetylene
10179	Euskara	Basque language
10185	Environmentalists	Environmentalist
10188	Eastern Orthodox	Eastern Orthodox Church
10189	Exobiology	Astrobiology
10200	Explosive	Explosive material
10210	Emotion theory	Emotion
10212	Evers, Charles	Charles Evers
10214	EDGE	Enhanced Data Rates for GSM Evolution
10232	Empirical knowledge	Empirical evidence
10233	Encyclopedist	Encyclopedia
10246	Egolessness	Ego death
10249	Extrapyramidal side-effect	Extrapyramidal symptoms
10250	Epinephrine	Adrenaline
10276	Ex libris	Ex Libris
10279	Endlosung	Final Solution
10280	Euclids algorithm	Euclidean algorithm
10288	Emission trading	Emissions trading
10291	Estonia ship	MS Estonia
10305	Evolution of societies	Sociocultural evolution
10311	Egyptian languages	Egyptian language
10316	Emulators	Emulator
10323	EverCrack	Video game addiction
10327	Eighteen wheeler	Semi-trailer truck
10329	Eternal existence	Eternity
10342	Eider Duck	Eider
10345	Easter Uprising	Easter Rising
10348	Educational choice	School choice
10373	Elliptical curve	Elliptic curve
10381	Electrothermal-Chemical technology	Electrothermal-chemical technology
10383	ES-3 Shadow	Lockheed S-3 Viking
10394	Euclidean ring	Euclidean domain
10405	Euclidean Algorithm	Euclidean algorithm
10423	Empress Saimei of Japan	Empress Kōgyoku
10469	Empress	Emperor
10471	EMACS	Emacs
10505	Emperor Enyu of Japan	Emperor En'yū
10509	Elements	Element
10513	Everquest	EverQuest
10523	Explosives	Explosive material
10526	Enea Silvio Piccolomini	Pope Pius II
10532	FootBall	Football
10533	FidDle	Fiddle
10534	FiddleandViolin	Violin
10535	FiddleStyles	Fiddle
10536	FinlanD	Finland
10537	FiLm	Film
10538	FilmCriticism	Film criticism
10539	FilmHistory	History of film
10540	FeudalsM	Feudalism
10541	FeudalisM	Feudalism
10545	FrancE	France
10546	FriendsofGlobalProgress	List of Atlas Shrugged characters
10548	FederalisM	Federalism
10549	FilmEditing	Film editing
10550	FaithAndRationality	Faith and rationality
10551	FreeWillAndDeterminism	Free will
10552	FoundationTrilogy	Foundation series
10556	FoxFilmCorporation	Fox Film
10557	FirstNational	First National Pictures
10558	FrequencyProbability	Frequentist probability
10559	FielD	Field
10560	FoodAndDrinks	Cuisine
10561	FriedrichNietzsche	Friedrich Nietzsche
10562	FrenchLanguage	French language
10564	FilmDirectors	Film director
10566	FieldsMedal	Fields Medal
10567	FiniteMathematics	Finite mathematics
10569	Food and Drinks	Cuisine
10570	Film Directors	Film director
10572	Film Criticism	Film criticism
10575	Film History	History of film
10578	Finite Mathematics	Finite mathematics
10583	FrodoBaggins	Frodo Baggins
10587	Film Techniques	Cinematic techniques
10590	Federal Republic of Germany	Germany
10593	FielDs	Field
10594	FrisianLanguage	Frisian language
10595	Film Theory	Film theory
10599	Formalist Film Theory	Formalist film theory
10604	Film Festivals	Film festival
10605	FrenchMaterialism	French materialism
10609	Film Genres	Film genre
10610	Film History/France	Cinema of France
10611	Film History/Russia	Cinema of Russia
10614	Film History/Poland	Cinema of Poland
10615	Film History/Canada	Cinema of Canada
10617	Free will and determinism	Free will
10619	French revolution	French Revolution
10627	Fiddle and violin	Violin
10630	Foundation Trilogy	Foundation series
10642	First person shooter	First-person shooter
10644	Fixed 3D	Video game graphics
10645	Famous Physicists	List of physicists
10652	Fixed Point	Fixed point
10666	Dead ball (American football)	Dead ball
10670	Friedrich Nietzche	Friedrich Nietzsche
10681	Flame war	Flaming (Internet)
10686	Film Noir	Film noir
10691	Demographics of the Falkland Islands	Falkland Islanders
10697	Falkland Islands/Transnational issues	Falkland Islands
10705	Military of the Faroe Islands	Danish Defence
10729	French Guinea/Geography	Geography of French Guiana
10732	French Guinea/Economy	Economy of French Guiana
10733	French Guinea/Communications	Telecommunications in French Guiana
10735	French Guinea/Military	French Armed Forces
10738	French Polynesia/History	French Polynesia
10745	French Polynesia/Military	French Polynesia
10746	French Polynesia/Transnational issues	French Polynesia
10768	Military of French Guiana	French Armed Forces
10774	French language/Proven	Occitan language
10782	List of film genres	List of genres
10785	Film history/Germany	Cinema of Germany
10794	History of cinema in India	Cinema of India
10800	List of film techniques	Cinematic techniques
10811	Friedrich Wilhelm Bessel	Friedrich Bessel
10812	Fantasy/authors	Fantasy author
10816	Francophone nations and territories	Geographical distribution of French speakers
10840	FORTH	Forth (programming language)
10856	Famous quotations	Quotation
10888	Finagles law	Finagle's law
10892	Fullerenes	Fullerene
10895	Fluid Mechanics	Fluid mechanics
10900	Frames per second	Frame rate
10901	First-Person Shooter	First-person shooter
10906	Fractals	Fractal
10908	Finite state machines	Finite-state machine
10921	Fighter Aircraft	Fighter aircraft
10924	Fermats little theorom	Fermat's little theorem
10927	Fossil fuels	Fossil fuel
10932	Finite state automaton	Finite-state machine
10934	Functional programming language	Functional programming
10941	Foreign Service Level 3	ILR scale
10942	FORTRAN	Fortran
10956	First Gulf War	Gulf War
10961	FERPA	Family Educational Rights and Privacy Act
10964	Radical (Chemistry II)	Radical (chemistry)
10970	Forgetting rate	Forgetting curve
10984	First-order predicate calculus	First-order logic
10986	First-order predicate logic	First-order logic
10988	Felix Housdorff	Felix Hausdorff
11013	Ferdinand Saussure	Ferdinand de Saussure
11014	Famous Scotsmen	List of Scots
11053	Frontline tv series	Frontline (U.S. TV series)
11061	Finance and investment	Finance
11097	Frisian language/vocabulary	Frisian language
11098	Frisian language/history	Frisian language
11105	Forteana	Charles Fort
11106	Francesco Boromini	Francesco Borromini
11117	Fimbrium	Pilus
11120	Fayez Ahmed	Fayez Banihammad
11126	Freedom fighter	Resistance movement
11148	Fresnel equatations	Fresnel equations
11154	First Arab-Israeli War	1948 Arab–Israeli War
11156	Farming	Agriculture
11163	Fund management	Asset management
11166	Feminist	Feminism
11177	FUBAR	List of military slang terms
11187	Feminists	Feminism
11189	Fictional realm	Fictional universe
11190	Feminist Spirituality	Feminist theology
11224	Feminist spirituality	Feminist theology
11226	Finno Ugric	Finno-Ugric languages
11230	Fulham Football Club	Fulham F.C.
11255	Freuds	Sigmund Freud
11272	Free State Danzig	Free City of Danzig
11289	Feudal Polish crown	List of Polish monarchs
11316	Fundamental forces	Fundamental interaction
11342	FOLDOC	Free On-line Dictionary of Computing
11343	Foldoc	Free On-line Dictionary of Computing
11351	Feudal system	Feudalism
11356	Field-effect transistors	Field-effect transistor
11368	Felis catus Domesticus	Cat
11375	FAR	Far
11386	1st Timothy	First Epistle to Timothy
11394	Films	Film
11406	First past the post	First-past-the-post voting
11409	Wikipedia:Family and Consumer Science basic topics	Home economics
11416	Four Schools of Madhhab	Madhhab
11422	Feet	Foot
11428	Frame tale	Frame story
11434	Français	French
11436	Four Cardinal Virtues	Cardinal virtues
11446	Friedrich V	Frederick V
11450	Friedrich II	Frederick II
11455	Friedrich Wilhelm I	Frederick William I
11465	Fosters Lager	Foster's Lager
11470	Fibonacci sequence	Fibonacci number
11473	Famous programmer	List of programmers
11482	Five pillars of Islam	Five Pillars of Islam
11486	Dylan Thomas/Fern Hill	Fern Hill
11487	File Formats	File format
11500	Federated States of Micronesia/Transport	Transportation in the Federated States of Micronesia
11502	Military of the Federated States of Micronesia	Federated States of Micronesia
11506	Ft. Collins, Colorado	Fort Collins, Colorado
11535	Four-poster	Four-poster bed
11538	Fourth generation programming language	Fourth-generation programming language
11540	Fifth amendment rights of witness	Fifth Amendment to the United States Constitution
11548	Fiscal calendar	Fiscal year
11562	Fossil record	Fossil
11568	Falsifiable	Falsifiability
11570	FM synthesis	Frequency modulation synthesis
11578	Facism	Fascism (disambiguation)
11580	Filker	Filk music
11588	Frequency shift keying	Frequency-shift keying
11595	Famicom	Nintendo Entertainment System
11604	Free software definition	The Free Software Definition
11607	Fundamtenal	Fundamental
11610	Fundamental tone	Fundamental frequency
11614	Fundamental dimensions/Forum	Base unit (measurement)
11622	Final Fantasy 3	Final Fantasy III
11640	Francois Marie Arouet	Voltaire
11645	F. A. Hayek	Friedrich Hayek
11678	False claims law	False Claims Act
11681	Feudal society	Feudalism
11682	Fermions	Fermion
11683	Fergus McDuck	Clan McDuck
11686	Fethry Duck	Duck family (Disney)
11687	Fuel-air explosive	Thermobaric weapon
11688	Fascist	Fascism
11689	Francais	French
11693	First International Bahá'í Council	International Bahá'í Council
11695	Five Good Emperors	Nerva–Antonine dynasty
11696	Fossile	Fossil
11697	Fossils and the geological timescale	Geologic time scale
11707	Freeway	Controlled-access highway
11714	F-18	McDonnell Douglas F/A-18 Hornet
11738	Fundamental Theorem of Arithmetic	Fundamental theorem of arithmetic
11739	Fermat	Pierre de Fermat
11760	F-110 Spectre	McDonnell Douglas F-4 Phantom II
11766	Free speech	Freedom of speech
11770	Freedom of beer	Gratis versus libre
11779	Firepink	Silene virginica
11783	Fencepost error	Off-by-one error
11792	Fiorentina	ACF Fiorentina
11798	Faeroe Islands	Faroe Islands
11799	Falsify	Falsifiability
11804	Futurism/Manifesto	Manifesto of Futurism
11808	Ferromagnetic	Ferromagnetism
11814	Food additives	Food additive
11825	Frederick Augustus I King of Saxony	Frederick Augustus I of Saxony
11833	GerMany	Germany
11834	GNUFreeDocumentationLicense	GNU Free Documentation License
11836	GermanicLanguages	Germanic languages
11840	GermanY	Germany
11842	GeorgeWBush	George W. Bush
11845	GottfriedLeibniz	Gottfried Wilhelm Leibniz
11847	GreekMythology	Greek mythology
11848	GrouP	Group (mathematics)
11850	GeorgeHamiltonGordonAberdeen	George Hamilton-Gordon, 4th Earl of Aberdeen
11853	GeologicTimescale	Geologic time scale
11854	Wikipedia:Give The Author A Chance debate	Wikipedia talk:Patent nonsense
11858	Games	Game
11862	Göteborg	Gothenburg
11864	Games of Chance	Game of chance
11868	GeoCaching	Geocaching
11870	Gambler	Gambling
11871	Gamblers Fallacy	Gambler's fallacy
11878	Gravity (old version)	Gravity
11879	GPL	GNU General Public License
11880	GothicLanguage	Gothic language
11881	Gas giants	Gas giant
11890	Genre Film Theory	Film genre
11895	GNU/GPL	GNU General Public License
11896	GNU/FDL	GNU Free Documentation License
11897	GNU/HURD	GNU Hurd
11898	GNU/Hurd	GNU Hurd
11899	GNU/Emacs	GNU Emacs
11901	GNU/LGPL	GNU Lesser General Public License
11902	GNU/Linux	Linux
11906	GrungE	Grunge
11907	Games/Cards	Card game
11908	Games/Board	Board game
11909	Games/Letter	Letter game
11910	Games/Casino	Casino game
11911	Games/RolePlaying	Role-playing game
11912	Games/TradingCard	Collectible card game
11913	Games/TableTop	Tabletop game
11914	Games/Computer	PC game
11915	Games/Tile based	Tile-based game
11916	Games/Die Siedler von Catan	Catan
11927	Germany/politics	Politics of Germany
11936	Germany/History	History of Germany
11942	Gene Cernan	Eugene Cernan
11947	Good argument	Logical reasoning
11952	Gnu/Linux	Linux
11963	Gottleib Fichte	Johann Gottlieb Fichte
11976	George Washington/First Inaugural Address	First inauguration of George Washington
11977	George Washington/Second Inaugural Address	Second inauguration of George Washington
11978	George W	George W. Bush
11980	Geologic age	Age (geology)
11981	Green alga	Green algae
11987	Gigantis the Fire Monster	Godzilla Raids Again
11989	Godzilla vs The Thing	Mothra vs. Godzilla
11990	Ghidorah the Three Headed Monster	Ghidorah, the Three-Headed Monster
11991	Monster Zero	Invasion of Astro-Monster
11995	Godzilla's Revenge	All Monsters Attack
11996	Godzilla/Godzilla vs Gigan	Godzilla vs. Gigan
11997	Godzilla vs The Smog Monster	Godzilla vs. Hedorah
11999	Godzilla vs The Cosmic Monster	Godzilla vs. Mechagodzilla
12006	Godzilla on Monster Island	Godzilla vs. Gigan
12018	Gun/Politics	Overview of gun laws by nation
12048	Political status of the Palestinian territories	Status of territories occupied by Israel in 1967
12049	Geography of the Gaza Strip	Gaza Strip
12050	Demographics of the Gaza Strip	Demographics of the Palestinian territories
12051	Politics of the Gaza Strip	Governance of the Gaza Strip
12052	Economy of the Gaza Strip	Gaza Strip
12053	Communications in the Gaza Strip	Gaza Strip
12054	Transportation in the Gaza Strip	Gaza Strip
12055	Military of the Gaza Strip	Gaza Strip
12056	Foreign relations of the Gaza Strip	Governance of the Gaza Strip
